ID,Name,2019 Revenue,2019 Expenses,2019 Profit,2019 Growth %,2018 Revenue,2018 Expenses,2018 Profit,2018 Growth %,2017 Revenue,2017 Expenses,2017 Profit,Industry,Description,Employees,State,City,Metro Area,Year Founded,Total Growth %,Avg Revenue (2017-2019),Avg Expenses (2017-2019),Avg Profit (2017-2019),Company Founded Longevity,Growth rate in Last 3 Years in %,Admin Spend (2019) Ratio,Marketing & Sales Spend (2019) Ratio,R&D Spend (2019) Ratio,Admin Spend (2019),Marketing & Sales Spend (2019),R&D Spend (2019),Result
1,Over-Hex,10684526.9,1130700.06,9553826.84,3.34,2463739,194747.86,2268991.14,4.1,483086.08,43394.44,439691.64,Software,"Provides a Web-based CRM tool that allows hospice and home care companies to target new sales opportunities, cut down on administrative tasks, monitor marketing compliance and protect referral source information.",25,TN,Franklin,Nashville,2010,21.12,4543783.99,456280.79,4087503.21,10,10.56,0.2796,0.2783,0.4421,316143.737,314673.827,499882.497,1
2,Unimattax,9016542.89,804035.4,8212507.49,0.65,5448571,239226.9,5209344.1,0.41,3864234.75,91714.44,3772520.31,IT Services,"Helps law firms use Thomson Reuters Elite practice management software more effectively, providing implementation, training, customization and upgrades.",36,PA,Newtown Square,Philadelphia,2013,1.33,6109782.88,378325.58,5731457.3,7,0.665,0.1948,0.2598,0.5454,156626.096,208888.397,438520.907,0
3,Lexila,12456641.64,2149297,10307344.65,5.2,2007778,335126.93,1672651.07,4.23,383896.37,112257.41,271638.96,Real Estate,"Offers investment, construction, residential, commercial, and brokerage services.",38,IL,Tinley Park,Chicago,2017,31.45,4949438.67,865560.45,4083878.23,3,15.725,0.1594,0.3238,0.5168,342597.942,695942.369,1110756.69,1
4,Greenfax,7746272.07,1044375.49,6701896.58,3.17,1857830,247048.76,1610781.24,0.56,1190916.67,625442.66,565474.01,Retail,A Verizon Wireless premium retailer that offers products and services throughout its 36 retail locations.,320,SC,Greenville,"Newberry, SC",2016,5.5,3598339.58,638955.64,2959383.94,4,2.75,0.2928,0.3227,0.3845,305793.143,337019.971,401562.376,0
5,Saoace,10725585.46,2694644.42,8030941.04,3.12,2604017,615040.85,1988976.15,2.39,768146.61,222962.86,545183.75,Energy,"An energy efficiency consulting firm that works with business owners to educate them on cutting costs, increasing productivity and profitability, and reducing negative effects energy consumption has on air quality and water supply.",24,WI,New Holstein,"Appleton, WI",2013,12.96,4699249.69,1177549.38,3521700.31,7,6.48,0.2896,0.33,0.3804,780369.024,889232.659,1025042.737,0
6,Donplus,7798447.11,3206651.6,4591795.52,5.6,1180753,497980.63,682772.37,3.67,252837.9,105372.15,147465.75,Advertising & Marketing,"Offers public relations consulting services to food and beverage, baby and children's products, and franchise and lifestyle clients to create ROI driven campaigns, land strategic media placement opportunities, and deliver results for its clients.",26,CA,Los Angeles,Los Angeles,2013,29.84,3077346,1270001.46,1807344.55,7,14.92,0.2441,0.2495,0.5064,782743.656,800059.574,1623848.37,0
7,Blacklane,10359369.13,4631808.13,5727561,5.64,1559705,771342.55,788362.45,6.22,216025.62,98255.36,117770.26,IT Services,"Provides technology support services with a focus on managed services, infrastructure implementation, and custom software development. The company doesn't sell software products, but prefers to partner with distributors who do so as to grow a wider customer base.",66,CA,Orange,Los Angeles,2015,46.95,4045033.25,1833802.01,2211231.24,5,23.475,0.2689,0.2051,0.526,1245493.206,949983.847,2436331.076,0
8,Toughtam,8501568.34,371848.52,8129719.82,2.67,2319207,117792.57,2201414.43,0.3,1784005.38,258266.42,1525738.96,Logistics & Transportation,"An asset-backed, third-party logistics company providing full truckload, less than truckload, heavy haul, tanker, expedited, flatbed, and specialized transportation services across North America.",20,AL,Birmingham,"Birmingham-Hoover, AL",2015,3.77,4201593.57,249302.5,3952291.07,5,1.885,0.2563,0.3373,0.4064,95304.776,125424.506,151119.239,0
9,Zimlane,6329643.96,1716656.77,4612987.19,3.23,1496864,503287.61,993576.39,1.99,500623.41,111855.5,388767.91,Human Resources,"Provides staff for engineering, IT, clerical, and technical positions for the automotive, aerospace, and robotic automation industries.",675,MI,Troy,Detroit,2014,11.64,2775710.46,777266.63,1998443.83,6,5.82,0.159,0.3466,0.4944,272948.426,594993.236,848715.107,0
10,Quotelane,9227504.31,3282018.33,5945485.98,4,1844478,647674.09,1196803.91,4.93,311041.82,122125.88,188915.94,Advertising & Marketing,"A media buying agency for all types of broadcasting: TV, radio, national cable networks, and satellite.",4,SC,Greenville,"Greenville-Mauldin-Easley, SC",2017,28.67,3794341.38,1350606.1,2443735.28,3,14.335,0.28,0.3054,0.4146,918965.132,1002328.398,1360724.8,0
11,Ganzzap,6836806.51,6515504.66,321301.85,3.13,1656470,2400796.43,-744326.43,1.18,759848.62,15012813.56,-14252964.94,Advertising & Marketing,"Specializes in reaching business professionals online wherever they travel Bizo can precisely target more than 120 million professionals around the world, including more than 80 percent of the U.S. business population.",133,CA,San Francisco,San Francisco,2015,8,3084375.04,7976371.55,-4891996.51,5,4,0.1761,0.327,0.4969,1147380.371,2130570.024,3237554.266,0
12,Yearflex,9567909.51,4374840.85,5193068.66,4.51,1735446,646445.02,1089000.98,2.83,453119.06,130332.83,322786.23,Software,Offers cloud-based practice management and electronic health record information systems for the optometry community.,45,WI,Madison,"Madison, WI",2017,20.12,3918824.86,1717206.23,2201618.62,3,10.06,0.1759,0.3447,0.4794,769534.506,1508007.641,2097298.703,0
13,Indigoplanet,7805452.21,4626275.39,3179176.82,4.88,1328154,785728.7,542425.3,3.52,293839.38,136206.44,157632.94,IT Services,"Offers enterprise-level Drupal development to create robust, high-performance, dynamic websites for its clients. Reaction also provides strategic planning, creative design and expert project management services.",60,NJ,Manalapan,New York City,2017,25.56,3142481.86,1849403.51,1293078.35,3,12.78,0.1936,0.3263,0.4801,895646.916,1509553.66,2221074.815,0
